airline_sentiment,clean_text,airline
positive,plus youve added commercials experience tacky,Virgin America
negative,really aggressive blast obnoxious entertainment guests faces amp little recourse,Virgin America
negative,really big bad thing,Virgin America
negative,seriously would pay flight seats didnt playing really bad thing flying va,Virgin America
positive,yes nearly every time fly vx ear worm wont go away,Virgin America
positive,well didntbut,Virgin America
positive,amazing arrived hour early youre good,Virgin America
positive,lt pretty graphics much better minimal iconography,Virgin America
positive,great deal already thinking nd trip amp havent even gone st trip yet p,Virgin America
positive,im flying fabulous seductive skies u take stress away travel,Virgin America
positive,thanks,Virgin America
negative,sfopdx schedule still mia,Virgin America
positive,excited first cross country flight lax mco ive heard nothing great things virgin america daystogo,Virgin America
negative,flew nyc sfo last week couldnt fully sit seat due two large gentleman either side help,Virgin America
positive,flying,Virgin America
positive,know would amazingly awesome bosfll please want fly,Virgin America
negative,first fares may three times carriers seats available select,Virgin America
positive,love graphic,Virgin America
positive,love hipster innovation feel good brand,Virgin America
negative,guys messed seating reserved seating friends guys gave seat away want free internet,Virgin America
negative,status match program applied three weeks called emailed response,Virgin America
negative,happened ur vegan food options least say ur site know wont able eat anything next hrs fail,Virgin America
negative,amazing cant get cold air vents vx noair worstflightever roasted sfotobos,Virgin America
negative,hi bked cool birthday trip cant add elevate cause entered middle name flight booking problems,Virgin America
negative,help left expensive headphones flight iad lax today seat one answering lampf number lax,Virgin America
negative,awaiting return phone call would prefer use online selfservice option,Virgin America
positive,great news america could start flights hawaii end year via,Virgin America
positive,moodlighting way fly best experience ever cool calming moodlitmonday,Virgin America
positive,done done best airline around hands,Virgin America
negative,chat support working site,Virgin America
positive,view downtown los angeles hollywood sign beyond rain mountains,Virgin America
negative,hey first time flyer next week excited im hard time getting flights added elevate account help,Virgin America
positive,im elevategold good reason rock,Virgin America
positive,wow blew mind,Virgin America
positive,julie andrews way though impressive,Virgin America
negative,hi im excited lgagtdal deal ive trying book since last week amp page never loads thx,Virgin America
positive,know need spotify stat guiltypleasures,Virgin America
positive,im lady gaga amazing,Virgin America
negative,called weeks ago adding flights elevatethey still havent shown uphelp,Virgin America
positive,love three really cant beat classics,Virgin America
negative,heyyyy guyyyys trying get hour someone call please,Virgin America
negative,hi virgin im hold minutes earlier flights la nyc tonight earlier pm,Virgin America
positive,congrats winning award best deals airline us,Virgin America
negative,everything fine lost bag,Virgin America
negative,airline awesome lax loft needs step game dirty tables floors,Virgin America
positive,worried great ride new plane great crew airlines like,Virgin America
positive,awesome flew yall sat morning way correct bill,Virgin America
negative,going customer service anyway speak human asap thank,Virgin America
negative,cant supp biz traveler like customer service like neverflyvirginforbusiness,Virgin America
positive,ive applied member inflight crew teamim interested flightattendant dreampath g,Virgin America
negative,youre best whenever begrudgingly use airline im delayed late flight,Virgin America
negative,interesting flying cancelled flight next four flights plannedneverflyvirginforbusiness,Virgin America
negative,disappointing experience shared every business traveler meet neverflyvirgin,Virgin America
negative,im trouble adding flight wife booked elevate account help,Virgin America
negative,site back,Virgin America
negative,like tv interesting video disappointed cancelled flightled flight flights went jfk saturday,Virgin America
